Start Year,start_month_sin,start_month_cos,start_day_sin,start_day_cos,event_duration_log,magnitude_missing,magnitude_scaled,country_freq,mag_scale_Km2,mag_scale_Kph,mag_scale_Moment_Magnitude,mag_scale_Unknown,mag_scale_Vaccinated,mag_scale_C,region_Africa,region_Americas,region_Asia,region_Europe,region_Oceania,subregion_Australia and New Zealand,subregion_Central Asia,subregion_Eastern Asia,subregion_Eastern Europe,subregion_Latin America and the Caribbean,subregion_Melanesia,subregion_Micronesia,subregion_Northern Africa,subregion_Northern America,subregion_Northern Europe,subregion_Polynesia,subregion_South-eastern Asia,subregion_Southern Asia,subregion_Southern Europe,subregion_Sub-Saharan Africa,subregion_Western Asia,subregion_Western Europe,assoc_freq,total_deaths_missing,no_injured_missing,no_affected_missing,no_homeless_missing,total_affected_missing,total_damage_usd_missing,total_damage_adjusted_usd_missing,reconstruction_costs_usd_missing,reconstruction_costs_adjusted_usd_missing,insured_damage_usd_missing,insured_damage_adjusted_usd_missing,aid_contribution_usd_missing,total_deaths_log,no_injured_log,no_affected_log,no_homeless_log,total_affected_log,total_damage_usd_log,total_damage_adjusted_usd_log,reconstruction_costs_usd_log,reconstruction_costs_adjusted_usd_log,insured_damage_usd_log,insured_damage_adjusted_usd_log,aid_contribution_usd_log,appeal_no,appeal_yes,ofda_bha_response_no,ofda_bha_response_yes,declaration_no,declaration_yes
2023,0.8660254037844387,-0.49999999999999983,-0.9987165071710528,-0.05064916883871355,0.0,1,-0.08326978595425069,0.020530796194291438,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7569926318048501,0,1,1,1,1,1,1,1,1,1,1,1,2.3978952727983707,3.9318256327243257,9.210440366976517,7.934155233536322,8.699681400989514,11.141876276228,11.837737123384356,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,1,0,1,0
2002,0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,1.0986122886681098,1,-0.08326978595425069,0.00400600901352028,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7569926318048501,1,1,0,1,0,1,1,1,1,1,1,1,2.9444389791664403,3.9318256327243257,7.0909098220799835,7.934155233536322,7.0909098220799835,11.141876276228,11.837737123384356,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,1,0,1,0
2008,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,5.616771097666572,1,-0.08326978595425069,0.0041490807640031475,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7569926318048501,0,1,0,1,0,1,1,1,1,1,1,1,3.1354942159291497,3.9318256327243257,7.470793774195062,7.934155233536322,7.470793774195062,11.141876276228,11.837737123384356,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,1,0,1,0
1994,0.8660254037844387,-0.49999999999999983,-0.651372482722222,-0.7587581226927911,0.0,1,-0.08326978595425069,0.020530796194291438,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7569926318048501,0,0,1,0,0,1,1,1,1,1,1,1,3.044522437723423,5.303304908059076,9.210440366976517,8.517393171418904,8.556606193773073,11.141876276228,11.837737123384356,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,1,0,1,0
1965,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.0,1,-0.08326978595425069,0.0056513341440732525,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7569926318048501,1,1,0,1,0,0,0,1,1,1,1,1,2.9444389791664403,3.9318256327243257,8.699681400989514,7.934155233536322,8.699681400989514,6.2166061010848646,8.512984346642183,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,0,1,1,0
2004,0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.15142777750457667,0.0,0,-0.08427052607253767,0.0034337220115888117,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7569926318048501,0,0,1,0,0,0,0,1,1,1,1,0,6.444131256700441,6.831953565565855,9.210440366976517,9.436678814186912,9.507923269105227,12.899222326086994,13.406493649675049,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,9.4894104675794,1,0,0,1,1,0
2002,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895,0.0,1,-0.08326978595425069,0.0017168610057944058,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7569926318048501,0,1,0,1,0,1,1,1,1,1,1,1,3.784189633918261,3.9318256327243257,5.501258210544727,7.934155233536322,5.501258210544727,11.141876276228,11.837737123384356,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,1,0,1,0
2024,-1.0,-1.8369701987210297e-16,0.29936312297335804,-0.9541392564000488,0.6931471805599453,1,-0.08326978595425069,0.005865941769797553,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04006009013520281,0,1,0,1,0,1,1,1,1,1,1,1,2.0794415416798357,3.9318256327243257,9.61587214452889,7.934155233536322,9.61587214452889,11.141876276228,11.837737123384356,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,1,0,1,0
2005,-0.8660254037844386,0.5000000000000001,0.10116832198743272,-0.994869323391895,0.0,1,-0.08326978595425069,0.008727376779454897,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04006009013520281,0,1,0,1,0,1,1,1,1,1,1,1,0.6931471805599453,3.9318256327243257,9.210440366976517,7.934155233536322,9.210440366976517,11.141876276228,11.837737123384356,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,1,0,1,0
1995,-2.4492935982947064e-16,1.0,0.10116832198743272,-0.994869323391895,4.143134726391533,1,-0.08326978595425069,0.0015022533800701052,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7569926318048501,0,1,0,1,0,1,1,1,1,1,1,1,2.302585092994046,3.9318256327243257,5.886104031450156,7.934155233536322,5.886104031450156,11.141876276228,11.837737123384356,13.244582780038517,13.459505389675746,12.07254696717504,12.552562396037683,6.620739651073516,1,0,1,0,1,0
